direction,placement,offload,mpps,packet,power_mode,measurement_s
ul,smartnic-sa,0,7,128,na,20
ul,smartnic-sa,0,21,128,na,20
ul,smartnic-sa,0,35,128,na,20
ul,smartnic-sa,0,49,128,na,20
ul,smartnic-sa,0,63,128,na,20
ul,smartnic-sa,0,77,128,na,20
ul,smartnic-sa,0,100,128,na,20
ul,flow,30,7,128,bw,20
ul,flow,30,7,128,pa,20
ul,flow,30,21,128,bw,20
ul,flow,30,21,128,pa,20
ul,flow,30,35,128,bw,20
ul,flow,30,35,128,pa,20
ul,flow,30,49,128,bw,20
ul,flow,30,49,128,pa,20
ul,flow,30,63,128,bw,20
ul,flow,30,63,128,pa,20
ul,flow,30,77,128,bw,20
ul,flow,30,77,128,pa,20
ul,flow,30,100,128,bw,20
ul,flow,30,100,128,pa,20
ul,flow,50,7,128,bw,20
ul,flow,50,7,128,pa,20
ul,flow,50,21,128,bw,20
ul,flow,50,21,128,pa,20
ul,flow,50,35,128,bw,20
ul,flow,50,35,128,pa,20
ul,flow,50,49,128,bw,20
ul,flow,50,49,128,pa,20
ul,flow,50,63,128,bw,20
ul,flow,50,63,128,pa,20
ul,flow,50,77,128,bw,20
ul,flow,50,77,128,pa,20
ul,flow,50,100,128,bw,20
ul,flow,50,100,128,pa,20
ul,flow,70,7,128,bw,20
ul,flow,70,7,128,pa,20
ul,flow,70,21,128,bw,20
ul,flow,70,21,128,pa,20
ul,flow,70,35,128,bw,20
ul,flow,70,35,128,pa,20
ul,flow,70,49,128,bw,20
ul,flow,70,49,128,pa,20
ul,flow,70,63,128,bw,20
ul,flow,70,63,128,pa,20
ul,flow,70,77,128,bw,20
ul,flow,70,77,128,pa,20
ul,flow,70,100,128,bw,20
ul,flow,70,100,128,pa,20
ul,flow,100,7,128,bw,20
ul,flow,100,7,128,pa,20
ul,flow,100,21,128,bw,20
ul,flow,100,21,128,pa,20
ul,flow,100,35,128,bw,20
ul,flow,100,35,128,pa,20
ul,flow,100,49,128,bw,20
ul,flow,100,49,128,pa,20
ul,flow,100,63,128,bw,20
ul,flow,100,63,128,pa,20
ul,flow,100,77,128,bw,20
ul,flow,100,77,128,pa,20
ul,flow,100,100,128,bw,20
ul,flow,100,100,128,pa,20
